CWS Sol
------------------------
Sol ID : 244
Sol costs: -36016.26790031227
Sol time: 1.138942159
# of routes in sol: 134
List of routes (cost and nodes): 
Route 1 Costs = 1161.722742903079 Demand  = 290.0
Route 90 Costs = 1070.6197185818362 Demand  = 270.0
Route 91 Costs = 90.0 Demand  = 30.0
Route 92 Costs = 90.00004670704126 Demand  = 10.0
Route 93 Costs = 825.464597241599 Demand  = 200.0
Route 94 Costs = 89.99998896460939 Demand  = 30.0
Route 95 Costs = 253.4364962941646 Demand  = 70.0
Route 96 Costs = 416.87322927990044 Demand  = 90.0
Route 97 Costs = 89.99999240027853 Demand  = 10.0
Route 98 Costs = 335.15488010473246 Demand  = 80.0
Route 99 Costs = 90.00000430986391 Demand  = 30.0
Route 100 Costs = 416.8731344454776 Demand  = 90.0
Route 101 Costs = 171.71824434722157 Demand  = 40.0
Route 102 Costs = 90.00004670704126 Demand  = 30.0
Route 103 Costs = 253.43664955637882 Demand  = 70.0
Route 104 Costs = 171.718342756387 Demand  = 40.0
Route 105 Costs = 335.1548028546831 Demand  = 80.0
Route 106 Costs = 89.99998379261233 Demand  = 30.0
Route 107 Costs = 89.99999240027853 Demand  = 30.0
Route 108 Costs = 89.99998896460939 Demand  = 10.0
Route 109 Costs = 90.00000430986391 Demand  = 10.0
Route 110 Costs = 90.00004670704126 Demand  = 30.0
Route 111 Costs = 171.71825194694304 Demand  = 40.0
Route 112 Costs = 253.43654399536817 Demand  = 50.0
Route 113 Costs = 825.464597241599 Demand  = 200.0
Route 114 Costs = 171.718342756387 Demand  = 40.0
Route 115 Costs = 89.99999240027853 Demand  = 30.0
Route 116 Costs = 89.99998379261233 Demand  = 10.0
Route 117 Costs = 89.99999240027853 Demand  = 10.0
Route 118 Costs = 89.99998896460939 Demand  = 30.0
Route 119 Costs = 90.00000430986391 Demand  = 30.0
Route 120 Costs = 90.00004670704126 Demand  = 10.0
Route 121 Costs = 1078.5498620009614 Demand  = 740.0
Route 122 Costs = 1074.3487744590732 Demand  = 640.0
Route 123 Costs = 1063.7355646010794 Demand  = 520.0
Route 124 Costs = 157.66036296189156 Demand  = 50.0
Route 125 Costs = 1047.3017199155279 Demand  = 600.0
Route 126 Costs = 829.5564484648442 Demand  = 480.0
Route 127 Costs = 1073.1507320290812 Demand  = 580.0
Route 128 Costs = 1059.0280685511673 Demand  = 580.0
Route 129 Costs = 792.832985779348 Demand  = 530.0
Route 130 Costs = 1074.3488044729934 Demand  = 530.0
Route 131 Costs = 755.2886339590443 Demand  = 500.0
Route 132 Costs = 1068.4430350079551 Demand  = 420.0
Route 133 Costs = 619.7939016761037 Demand  = 330.0
Route 134 Costs = 138.8301714209457 Demand  = 60.0
-------------------------
